Price,Close,High,Low,Open,Volume
Ticker,SPY,SPY,SPY,SPY,SPY
Date,,,,,
2004-01-02,74.03553771972656,74.67452042479134,73.70273391011887,74.37499394923455,38072300
2004-01-05,74.84091186523438,74.89415660790768,74.27514140546162,74.34170622062248,27959800
2004-01-06,74.91413879394531,75.03394836728394,74.54805257591536,74.65455223140883,20472800
2004-01-07,75.16707611083984,75.25360328179055,74.47484350868334,74.80764735136337,30170400
2004-01-08,75.46659851074219,75.48657100723469,75.06057741118424,75.38007133867616,36438400
2004-01-09,74.80767059326172,75.54649575981071,74.72779581805621,75.10053969083003,54084300
2004-01-12,75.36011505126953,75.38008247252758,74.78769194367814,74.91415904922503,31564100
2004-01-13,74.92082214355469,75.36678328731216,74.38833888080997,75.27359351119203,54239700
2004-01-14,75.54647827148438,75.65297794710467,74.99402263011815,75.05392996720059,30112800
2004-01-15,75.73283386230469,75.91920318258627,74.93410675304553,75.59305687209348,38408700
2004-01-16,76.03238677978516,76.08563154825251,75.63301800807828,75.90591966353232,31922700
2004-01-20,76.01239013671875,76.31191662036774,75.75946106272956,76.23204187575801,29863000
2004-01-21,76.6114273071289,76.74455186285297,75.69289072445433,75.9657871768692,30725000
2004-01-22,76.4117660522461,76.7978146591345,76.26533154561984,76.63807023289847,29888500
2004-01-23,76.1655044555664,76.79117744296683,75.84601046165125,76.54490071686172,44245300
2004-01-26,77.12396240234375,77.16389723744803,76.13220331966382,76.13886081824236,30460600
2004-01-27,76.3318862915039,77.54329202385657,76.31191887430754,77.04408628121371,35322800
2004-01-28,75.45992279052734,76.73123045275831,75.17371136737867,76.53155125314105,52621300
2004-01-29,75.53315734863281,75.7794289258097,74.92079445938364,75.58640210050307,60117100
2004-01-30,75.53315734863281,75.69290176061016,75.2735656966676,75.55977718547629,30984400
2004-02-02,75.85928344726562,76.33186413709127,75.29351811878037,75.67956658829215,38832400
2004-02-03,75.73283386230469,75.97245301071905,75.50652971001506,75.7062089482383,25093500
2004-02-04,75.11382293701172,75.69956092411893,75.07388810268473,75.34013218062589,39332600
2004-02-05,75.33348846435547,75.57310767052223,75.06724433770525,75.32683096468853,37226800
2004-02-06,76.17880249023438,76.34520442234776,75.34679282966745,75.49322734243665,37216000
2004-02-09,76.19877624511719,76.45836285724279,76.07230914960532,76.32523826244501,24851300
2004-02-10,76.44503021240234,76.63805702166353,76.05232417431372,76.06563409162908,27908100
2004-02-11,77.257080078125,77.4700743239509,75.99242452182855,76.44503792898149,42965700
2004-02-12,76.97749328613281,77.39016660512154,76.93090097340243,77.19048744121187,27814700
2004-02-13,76.63137817382812,77.34357788907238,76.37844918984152,77.09064890508577,44739900
2004-02-17,77.32363891601562,77.49669832564082,77.05739484232687,77.11064467270128,23984300
2004-02-18,76.98419952392578,77.60986739413244,76.77785765560574,77.343623262167,28618000
2004-02-19,76.69796752929688,77.470069720214,76.58481037559557,77.43013488842712,51146200
2004-02-20,76.46501159667969,76.91762504083142,76.09227290556078,76.86438028366001,46728800
2004-02-23,76.2719955444336,76.71795663090606,75.99244148653827,76.6913317094611,36357000
2004-02-24,76.13883972167969,76.53820319661727,75.23361313679071,76.05896499541933,43953000
2004-02-25,76.4583740234375,76.58483605923419,76.09228768200941,76.18547237288479,31213600
2004-02-26,76.50491333007812,76.73787489576057,76.10554484241534,76.28526167749985,29683000
2004-02-27,76.55819702148438,77.03743538802124,76.29861041930755,76.67135419227169,39312000
2004-03-01,77.31696319580078,77.43676766076425,76.71125798373815,76.8310675268834,33130800
2004-03-02,76.86434173583984,77.85609530058873,76.69793989244393,77.17052051830657,38556400
2004-03-03,77.00414276123047,77.1239523290783,76.49162207947691,76.71127380022844,31346200
2004-03-04,77.20381927490234,77.27703651257903,76.89098290995331,77.02410746853943,21060000
2004-03-05,77.46339416503906,77.84279021312432,76.73122697658107,76.82441161448398,55905600
2004-03-08,76.51825714111328,77.62316831094671,76.48497980452021,77.43679389765478,39281600
2004-03-09,76.21206665039062,76.68464741499801,76.0390072605597,76.6114301761535,39746100
2004-03-10,74.93412780761719,76.3918054454944,74.92081280775126,76.35852810219868,67671800
2004-03-11,73.9623031616211,75.3933551453946,73.94898816857113,74.81427990226938,89134800
2004-03-12,74.93412780761719,75.02065499400753,74.26852000348809,74.36836218974436,54012200
2004-03-15,74.01555633544922,74.78100602124518,73.81587712057801,74.72775619933984,57677200
2004-03-16,74.40824890136719,74.58796065783278,73.77591884956188,74.40159140574069,59832600
2004-03-17,75.24028778076172,75.38672227318703,74.61461497792021,74.66786480756274,41607300
2004-03-18,75.26025390625,75.3933733998894,74.50146162050244,75.01397725701563,60014300
2004-03-19,74.1815185546875,75.190110792656,74.16816197823088,75.08324289304839,48636200
2004-03-22,73.23971557617188,73.85421993810981,72.87234606850012,73.83418252787031,62752100
2004-03-23,73.1128158569336,73.74068198134827,73.04602278105618,73.64048981953965,54080200
2004-03-24,73.17292785644531,73.56701054257395,72.70536616742926,73.19296526814885,51584300
2004-03-25,74.14144897460938,74.34183330752946,73.33324099820618,73.52694449443285,49873600
2004-03-26,74.16149139404297,74.66912800131293,74.00786781162306,74.114735726004,37409500
2004-03-29,75.20345306396484,75.30364520427811,74.52883651755558,74.56223050033738,44113600
2004-03-30,75.45732116699219,75.52411427043938,74.95636524715749,75.0098017683101,39059900
2004-03-31,75.54412078857422,75.7445051129305,75.06320248690719,75.47064687604258,48517600
2004-04-01,75.99830627441406,76.05842359859261,75.51071232577868,75.52406890004943,45103800
2004-04-02,76.57273864746094,76.70632477908667,76.07846384526462,76.68628736894124,50987700
2004-04-05,76.99356079101562,77.06703471247653,76.43917360542741,76.45253018388136,30251800
2004-04-06,76.7464370727539,76.93345977432381,76.55941437118402,76.69968139736143,28420900
2004-04-07,76.56605529785156,76.79983866449614,76.21872830943944,76.77979615902458,45890500
2004-04-08,76.39241790771484,77.0870771947257,75.9716117947837,77.0870771947257,46929700
2004-04-12,76.6929931640625,76.86665926848302,76.52600789719283,76.53268873474367,23085200
2004-04-13,75.6175765991211,77.01357550705085,75.49066621767734,76.98685726380037,56210300
2004-04-14,75.73784637451172,75.9048316615348,75.17677825618769,75.21685309435753,62322300
2004-04-15,75.45061492919922,75.99832634667166,75.0498513474364,75.77790459310722,61602500
2004-04-16,76.03172302246094,76.17867085350753,75.46397420831431,75.73114652368783,47059200
2004-04-19,76.03172302246094,76.13859092941328,75.65767260816453,75.84470036330536,28277600
2004-04-20,74.75595092773438,76.35901024894936,74.66243960112881,76.1987058456234,53299400
2004-04-21,75.25688171386719,75.44390430511615,74.7225321811535,74.9429487517064,50177300
2004-04-22,76.312255859375,76.59278984387412,75.10328433380607,75.1300025841372,62071500
2004-04-23,76.38573455810547,76.52600155914047,76.00500838501465,76.42580938811962,29395700
2004-04-26,76.27883911132812,76.77311898403376,75.87807564112184,76.47922339442327,35515200
2004-04-27,76.34568786621094,76.89339949420705,76.11858518846323,76.2989321819669,43485500
2004-04-28,75.35708618164062,76.15193742056975,75.14334531436359,76.07178268434676,50165800
2004-04-29,74.69583892822266,75.69106953372389,74.24831970717007,75.29030597612478,69687600
2004-04-30,74.11473846435547,75.06321353446722,74.07466363198016,74.92294652516782,48681400
2004-05-03,74.90957641601562,75.00308773865832,74.37522163292746,74.38858330529635,33758000
2004-05-04,74.84947967529297,75.65101207044685,74.58230730622796,74.97639011778925,51185100
2004-05-05,75.3304214477539,75.45065108950227,74.91630108972232,75.08328642015128,34405000
2004-05-06,74.68246459960938,75.20345764579963,74.14143414333245,74.82273156620026,54997000
2004-05-07,73.44679260253906,74.96302154392198,73.44679260253906,74.28839969920139,60950000
2004-05-10,72.69203186035156,73.3065364554379,72.3780987248657,73.09947634309029,75279400
2004-05-11,73.3064956665039,73.50687992539797,73.02596178083895,73.11279224183524,48300600
2004-05-12,73.7740707397461,73.83418807096217,72.17769238835058,73.18628457932762,90830500
2004-05-13,73.46683502197266,74.01454648181226,73.22637583511764,73.31321143347328,57393700
2004-05-14,73.500244140625,73.96780090330614,72.98592660568924,73.44012678771657,54123100
2004-05-17,72.87236785888672,73.13954529926842,72.41149199761374,72.73210084928313,55020400
2004-05-18,73.23971557617188,73.4334190351275,73.02597470697675,73.13284259358217,30193100
2004-05-19,72.98590850830078,74.26167822383029,72.90575885227858,73.80747815442518,54804100
2004-05-20,73.2197036743164,73.38668894579918,72.83229662143975,73.10614981675872,38082900
2004-05-21,73.34661865234375,73.84089878998589,73.11952109936229,73.45349168620801,47480400
2004-05-24,73.65385437011719,73.9811491405241,73.25977161258741,73.82752046298762,40961500
2004-05-25,74.70922088623047,74.79605650213416,73.2063532126747,73.40673760754355,48668000
2004-05-26,74.96968841552734,75.00308750035857,74.48209439129461,74.58228654980341,35977000
2004-05-27,75.39047241210938,75.49734027954017,74.84943695279603,75.17005074705517,45306900
2004-05-28,75.38381958007812,75.39717615747466,75.04984908932676,75.29698908703747,23367200
2004-06-01,75.28361511230469,75.38380726235575,74.72254722559387,75.11662989421441,41044700
2004-06-02,75.56414031982422,75.79792367491088,75.11662121011541,75.49734725950681,39774200
2004-06-03,74.86951446533203,75.60425374242912,74.85615788574214,75.35043286634608,38688300
2004-06-04,75.46398162841797,75.86474523686917,75.28363469222418,75.46398162841797,32739500
2004-06-07,76.6128158569336,76.68628976041431,75.75785235750453,75.76453319308945,31643800
2004-06-08,76.71969604492188,76.75977087022476,76.25881516999898,76.39240641431681,32846500
2004-06-09,76.00503540039062,76.61285928758834,75.95827971676003,76.4859539154409,36737600
2004-06-10,76.3790283203125,76.3790283203125,76.09849441153756,76.17196830611915,21711000
2004-06-14,75.624267578125,76.04506849980218,75.39048928830434,76.02503108867249,34633000
2004-06-15,76.15861511230469,76.44582988781966,75.8179689405889,76.07846547001127,37445000
2004-06-16,76.14527893066406,76.27886510092004,75.94489457929433,76.14527893066406,26633400
2004-06-17,76.03172302246094,76.19202743088209,75.69775253225878,76.0450795998355,28402400
2004-06-18,76.17516326904297,76.57068953520222,75.87349476748989,75.93382642196617,31799800
2004-06-21,75.88693237304688,76.51709053227466,75.8400060280781,76.25564302250739,25284000
2004-06-22,76.26903533935547,76.34277745666057,75.53161928089159,75.8399930829915,37334000
2004-06-23,76.9260025024414,76.98633416704955,76.03439706292973,76.16177072988474,35580000
2004-06-24,76.6846694946289,77.0466748443532,76.5975220475902,76.79863272104573,35272100
2004-06-25,76.31596374511719,77.0533849381585,76.20870573541217,76.69808478946803,32837900
2004-06-28,76.05452728271484,76.83216970264542,76.02771661234787,76.77183290784969,40824500
2004-06-29,76.36957550048828,76.53717025278812,76.0343859958886,76.1081280960674,28418100
